country,dataProvider,language,type,completeness,quality_category,year,title_short,score
Greece,Manos & Anastasia Faltaits Folk Art & Ethnographic Museum,mul,TEXT,5,High (Rich Metadata),1838,ΕΓΧΕΙΡΙΔΙΟΝ ΤΟΥ ΡΩΜΑΪΚΟΥ ΔΙΚΑΙΟΥ,8.441509
Greece,Manos & Anastasia Faltaits Folk Art & Ethnographic Museum,mul,TEXT,5,High (Rich Metadata),1868,M. TULLII CICERONIS EPISTOLARUM AD FAMILIARES,10.540287
Greece,Manos & Anastasia Faltaits Folk Art & Ethnographic Museum,mul,TEXT,6,High (Rich Metadata),1873,C. IULI CAESARIS COMMENTARII DE BELLO CIVILI,10.817756
Greece,Manos & Anastasia Faltaits Folk Art & Ethnographic Museum,mul,TEXT,5,High (Rich Metadata),1848,ΒΑΣΙΛΕΙΟΥ ΤΟΥ ΜΑΚΕΔΟΝΟΣ ΑΥΤΟΚΡΑΤΟΡΟΣ ΓΡΑΙΚΟ-ΡΩΜΑΙΩΝ ΚΕΦΑΛΑΙΑ ΠΑΡΑΙΝΕΤΙΚΑ ΞΣΤ’ ΠΡ,10.714932
Greece,Manos & Anastasia Faltaits Folk Art & Ethnographic Museum,mul,TEXT,6,High (Rich Metadata),1899,"PLATONIS EUTHYPHRO, APOLOGIA SOCRATIS, CRITO, PHAEDO",9.586869
Greece,Manos & Anastasia Faltaits Folk Art & Ethnographic Museum,mul,TEXT,5,High (Rich Metadata),1866,"ΔΙΟΔΩΡΟΥ ΒΙΒΛΙΟΘΗΚΗ ΙΣΤΟΡΙΚΗ / DIODORI BIBLIOTHECA HISTORICA, ΤΟΜΟΣ",10.817756
Greece,Manos & Anastasia Faltaits Folk Art & Ethnographic Museum,mul,TEXT,6,High (Rich Metadata),1881,BUCOLICORUM GRAECORUM THEOCRITI BIONIS MOSCHI RELIQUIAE ACCEDENTIBUS INCERTORUM ,9.586869
Greece,Manos & Anastasia Faltaits Folk Art & Ethnographic Museum,mul,TEXT,5,High (Rich Metadata),1889,ΕΓΧΕΙΡΙΔΙΟΝ ΤΗΣ ΓΕΝΙΚΗΣ ΙΣΤΟΡΙΑΣ,8.122853
Greece,Manos & Anastasia Faltaits Folk Art & Ethnographic Museum,mul,TEXT,6,High (Rich Metadata),1898,URBIS ROMAE VIRI ILLUSTRES A ROMULO AD AUGUSTUM AUCTORE LHOMOND,8.788635
Greece,Manos & Anastasia Faltaits Folk Art & Ethnographic Museum,mul,TEXT,5,High (Rich Metadata),1857,ΒΥΖΑΝΤΙΝΑΙ ΜΕΛΕΤΑΙ,10.714932
Greece,Manos & Anastasia Faltaits Folk Art & Ethnographic Museum,mul,TEXT,5,High (Rich Metadata),1874,ΠΕΡΙ ΒΥΖΑΝΤΙΝΩΝ,8.26828
Greece,Manos & Anastasia Faltaits Folk Art & Ethnographic Museum,mul,TEXT,5,High (Rich Metadata),1852,ΙΣΤΟΡΙΑ ΣΥΝΟΠΤΙΚΗ ΤΗΣ ΕΛΛΗΝΙΚΗΣ ΚΑΙ ΡΩΜΑΪΚΗΣ ΦΙΛΟΛΟΓΙΑΣ,7.8158197
